Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,News Sentiments
21-03-2018,144.6428995,145.0135503,143.0970225,143.4315186,3871900,0,0,0.412061593
22-03-2018,142.6992615,143.8473545,141.7952434,141.9669952,3669400,0,0,-2.685002141
23-03-2018,142.4641778,142.6359434,140.0504517,140.1046906,3447400,0,0,-0.724885562
26-03-2018,141.216696,143.0156835,141.216696,142.8439178,3477000,0,0,-1.666631707
27-03-2018,143.2868636,144.4349705,141.4517081,142.3647614,3519100,0,0,-1.565801577
28-03-2018,142.6901932,144.4259061,142.6721228,143.2054901,3913200,0,0,-3.376559228
29-03-2018,143.7388534,144.48919,141.3703308,141.3703308,5289500,0,0,-1.004835047
02-04-2018,143.0789541,144.7875478,140.3488154,142.5817413,6960100,0,0,0.859867003
03-04-2018,142.8167641,145.1220128,142.2020385,145.0044861,4719400,0,0,1.886493359
04-04-2018,143.2868585,146.5865188,142.7263717,146.2068329,4888000,0,0,1.558547798
05-04-2018,146.8125598,148.7652426,146.2249535,148.2137909,4503900,0,0,-1.207835147
06-04-2018,146.8306029,148.0600679,145.4655406,145.7729034,4321900,0,0,-2.781170068
09-04-2018,146.6497892,147.870219,145.6011251,145.7548065,3581500,0,0,-2.022793216
10-04-2018,147.2012878,148.2228328,146.4961547,147.147049,3902600,0,0,-0.694179599
11-04-2018,146.9029511,148.3132172,146.704066,147.662323,2711100,0,0,-0.532069535
12-04-2018,147.8882926,149.5245628,146.035053,146.1073761,5178900,0,0,-1.249519526
13-04-2018,146.5955678,147.4995858,145.7819433,146.2068329,2452800,0,0,2.284690076
16-04-2018,145.8181274,146.8487076,145.4203573,146.1164551,3115200,0,0,2.191309856
17-04-2018,146.8035044,147.7888809,146.5051768,146.9481506,2861900,0,0,-2.43039117
18-04-2018,146.9842772,147.6351712,146.2158702,146.2791443,2503100,0,0,0.617771279
19-04-2018,146.0983616,146.5413354,143.5399888,144.2180023,3276600,0,0,-1.488109548
20-04-2018,144.037208,145.3028279,143.2959065,143.5309601,3961200,0,0,0.505775913
23-04-2018,143.7117284,144.3626224,142.9704271,143.7298126,3051900,0,0,-1.38225329
24-04-2018,144.416865,144.4891881,141.7138464,142.220108,2904400,0,0,-3.08346303
25-04-2018,142.0122106,142.2382151,140.1318511,140.9725952,3710200,0,0,3.880526455
26-04-2018,141.4426605,144.1547144,140.7103943,143.6484528,3680600,0,0,1.450978234
27-04-2018,144.1727985,144.5072946,143.0247055,143.1060638,4141500,0,0,2.997179563
30-04-2018,148.8827249,151.8298186,148.0329458,151.3687744,12954700,0,0,-4.543423512
01-05-2018,150.4105314,150.5190092,146.5413352,147.7527161,6560100,0,0,-2.454113053
02-05-2018,146.5865064,147.535728,145.0406434,145.2575989,4318400,0,0,1.924748653
03-05-2018,145.1852879,145.4022434,143.8111768,144.7151947,3450100,0,0,1.773160444
04-05-2018,144.5976808,149.5697799,144.5524771,149.190094,4283600,0,0,-1.185175157
07-05-2018,150.7630795,151.2422079,148.8465521,149.1629639,3379000,0,0,-0.916093613
08-05-2018,148.65672,149.6963352,148.0329454,148.9550476,2808100,0,0,0.001996858
09-05-2018,149.162955,149.3528048,147.4001229,148.4759064,2762500,0,0,-1.495019883
10-05-2018,148.6657872,149.741571,148.5392252,149.2262878,1675100,0,0,-2.565188757
11-05-2018,149.1629365,150.0488701,149.0273394,149.5155029,2258500,0,0,-2.905488458
14-05-2018,149.7505659,150.0488935,148.5482342,148.9098358,2537300,0,0,1.758499782
15-05-2018,148.5030322,148.8465497,146.7492352,147.4091644,3471300,0,0,-1.163568837
16-05-2018,147.5718923,148.204702,146.2158654,147.2373962,2522000,0,0,-2.527922905
17-05-2018,147.0204589,147.5628614,145.3028163,145.8271484,2975500,0,0,1.430314441
18-05-2018,146.1616184,147.2102826,145.1400875,145.5288086,2318000,0,0,-2.143642747
21-05-2018,146.2520126,146.4237782,145.1943133,145.9808044,2424000,0,0,-0.728572282
22-05-2018,146.5051478,146.5322673,143.8835013,144.1456604,3224000,0,0,0.926858208
23-05-2018,144.3716633,146.1344955,143.8834997,146.1073761,3835100,0,0,-0.500016417
24-05-2018,145.6463401,146.9933319,145.0406497,146.8034821,3378000,0,0,-0.319510635
25-05-2018,146.8486868,148.213749,146.541324,147.5447845,2582100,0,0,-2.972750926
29-05-2018,146.8396395,147.1018125,144.8327322,145.2033691,3197100,0,0,2.867726998
30-05-2018,145.9174964,146.5412708,145.3841293,146.288147,2396500,0,0,-1.262776172
31-05-2018,145.7096159,146.1164351,144.5886424,144.6519165,4881100,0,0,-2.780138482
01-06-2018,145.4706992,145.6071716,144.6701194,144.7974854,3203800,1.01,0,0.406716939
04-06-2018,145.6344901,146.0074953,145.1432116,145.7618561,3174600,0,0,-2.476874674
05-06-2018,145.5343801,146.4623397,144.6337123,145.0885925,2952300,0,0,3.671652089
06-06-2018,145.3706683,147.7360518,144.9521861,147.7269592,3586200,0,0,5.16398716
07-06-2018,148.9732941,154.6592976,148.9187106,154.1862183,8342500,0,0,-1.141025766
08-06-2018,153.7677073,156.0784926,153.2582437,153.6676331,5056600,0,0,-1.330180478
11-06-2018,153.7858967,153.7858967,151.2567638,151.4660187,3246500,0,0,2.541744172
12-06-2018,151.7662457,152.1483434,151.2294765,151.6843567,2985300,0,0,0.958135584
13-06-2018,151.9209483,152.4849956,151.5206514,151.5479431,3140500,0,0,-1.6766373
14-06-2018,151.9663879,152.7851807,151.6388736,151.9754944,2390000,0,0,-1.975376453
15-06-2018,151.1112369,151.5661171,149.7374895,151.4387512,7384400,0,0,2.665428742
18-06-2018,150.5926431,151.5478943,149.027854,151.2749634,4297700,0,0,-2.351684111
19-06-2018,149.7647996,150.5744861,149.4191,150.0832214,3350400,0,0,-3.030351197
20-06-2018,150.0285826,150.5926296,147.7177836,147.8906403,3649500,0,0,-0.669060345
21-06-2018,148.5548033,148.8368407,145.143201,146.043869,4655800,0,0,4.119116791
22-06-2018,146.7171121,150.2378816,146.7080056,149.7011261,8703600,0,0,-2.714432552
25-06-2018,148.2909783,148.2909783,144.606445,145.3888397,6126800,0,0,0.861133587
26-06-2018,145.5708097,147.24478,145.3797677,146.3896027,3375100,0,0,-1.432603316
27-06-2018,144.6973914,146.0074486,143.1780932,143.2144775,4962100,0,0,-2.766474253
28-06-2018,143.0598309,143.1326134,141.1038515,142.2137604,4136500,0,0,-2.262214312
29-06-2018,142.6141063,143.696724,141.986383,142.5504303,4024500,0,0,2.060094341
02-07-2018,141.9135468,142.7141266,141.4222683,142.7141266,3024000,0,0,-2.709385825
03-07-2018,143.1599076,143.5784035,142.2046564,142.359314,1437700,0,0,-1.673394838
05-07-2018,142.7414235,143.441943,142.3775248,143.1235352,2248300,0,0,-0.055930807
06-07-2018,143.5329277,146.0802601,143.2417977,145.0340271,3298800,0,0,-0.345208627
09-07-2018,145.9892979,146.2895206,144.9885556,145.5071259,2477300,0,0,2.203998035
10-07-2018,145.4070125,146.4532315,145.0704056,146.1257172,2187500,0,0,0.986165586
11-07-2018,144.5518373,145.2978476,143.4692202,144.3061981,3203800,0,0,0.109925737
12-07-2018,144.7883696,145.3615231,144.4881609,144.7610779,2360800,0,0,-1.439935779
13-07-2018,143.1963114,144.4335864,141.2676234,144.2061462,5186500,0,0,1.451559127
16-07-2018,144.3061867,144.9066319,143.7057554,144.4517517,2818200,0,0,1.150468198
17-07-2018,144.2516265,145.5616839,144.2516265,145.3342438,1877500,0,0,-1.980677074
18-07-2018,145.4252346,145.4434198,143.5693152,143.6784821,3824000,0,0,-2.556655468
19-07-2018,143.3691488,144.3244,142.9324676,143.2053986,4869700,0,0,2.966724742
20-07-2018,143.0143548,144.0605877,142.1773767,143.7148743,2695500,0,0,-0.638259496
23-07-2018,143.5601994,144.4972515,142.8687725,144.424469,2754300,0,0,-2.116786583
24-07-2018,144.870237,145.1795521,143.3054481,143.6875458,3388400,0,0,2.457853593
25-07-2018,143.4601244,144.6428157,143.2053926,144.5518341,4193400,0,0,-4.446961987
26-07-2018,143.9513992,144.5518444,140.7490522,142.0500031,7409800,0,0,-1.091026431
27-07-2018,142.450325,143.751276,142.2865608,143.269104,4234100,0,0,-1.136469955
30-07-2018,143.1872013,145.5798758,142.9142703,144.3244019,3274800,0,0,-0.660666279
31-07-2018,144.3789796,144.6519105,143.0416307,143.3236542,3530000,0,0,-0.486978799
01-08-2018,142.4412052,143.032544,141.6133198,142.759613,4252800,0,0,-2.656763978
02-08-2018,142.513989,142.7687209,139.3116418,141.3858948,6245900,0,0,-0.874458014
03-08-2018,141.6496913,142.8050909,140.3669258,142.113678,3673100,0,0,-1.558550457
06-08-2018,141.9499303,143.2054042,141.431374,142.5776672,2375200,0,0,0.824938097
07-08-2018,142.7505313,143.0143557,141.7770808,141.9590302,1929300,0,0,2.416613979
08-08-2018,142.3684358,144.5882399,142.0773058,144.5791473,2988000,0,0,1.468115501
09-08-2018,144.5063545,145.2159666,143.7057747,144.9248505,2764500,0,0,0.847188513
10-08-2018,144.0514788,145.115897,143.6238903,144.3607941,3343200,0,0,-1.695994356
13-08-2018,144.1788526,144.6428394,143.059851,143.8695374,2879600,0,0,0.31360902
14-08-2018,144.0605828,146.862633,143.9150178,146.1075439,3111600,0,0,2.181956738
15-08-2018,145.3888247,145.9801774,144.0787674,145.4525146,3355500,0,0,0.814468167
16-08-2018,145.698151,147.6359454,145.698151,147.1355743,2822100,0,0,-0.160748116
17-08-2018,147.2902153,147.2902153,145.7800234,146.6078949,2527400,0,0,-1.870483843
20-08-2018,146.7352818,147.526783,146.562439,147.0900879,2659500,0,0,1.464417994
21-08-2018,146.8899088,147.3356825,146.489612,146.5077972,1920900,0,0,-3.086815493
22-08-2018,146.8444368,146.9354045,145.6344537,146.0620422,2361500,0,0,2.023136581
23-08-2018,146.071167,146.2804081,144.078789,144.6974335,2755500,0,0,2.546212317
24-08-2018,144.4153583,145.4342854,144.0150616,144.9976044,2199400,0,0,0.618997584
27-08-2018,145.7709424,146.0347808,144.8338901,145.9983826,2627100,0,0,1.795577263
28-08-2018,146.0620448,147.0809721,145.7072388,147.0536804,2138000,0,0,-1.07504477
29-08-2018,147.3084198,148.600278,147.0991787,148.391037,3168200,0,0,1.905051712
30-08-2018,148.3182498,148.5547825,147.7178046,148.1090088,3038400,0,0,-1.00604429
31-08-2018,147.8710052,149.1343167,147.8710052,148.5118103,3649700,1.01,0,-0.651926551
04-09-2018,148.1273386,148.2829618,146.534482,148.0449524,3296300,0,0,-1.043819404
05-09-2018,147.9350806,149.5828611,147.5597469,149.4364014,2749200,0,0,2.392899472
06-09-2018,149.2533306,150.4067939,148.9420844,149.8941498,3133800,0,0,2.3354675
07-09-2018,149.7476244,150.3151926,149.3448287,150.0405579,2868300,0,0,0.784962532
10-09-2018,150.5715437,151.9813289,150.3518471,151.1116638,3080100,0,0,-1.994713286
11-09-2018,150.9377456,151.8989464,150.3152392,150.6997223,2946400,0,0,2.687101747
12-09-2018,150.4250872,151.4320627,149.8941304,150.8095703,2613300,0,0,-0.452741816
13-09-2018,151.4595447,151.4687081,148.0266447,148.66745,3663600,0,0,-3.003571962
14-09-2018,149.2166874,149.3173864,146.699228,147.2393341,3939800,0,0,-1.935329659
17-09-2018,146.0584433,146.305616,143.3212729,144.7676697,5360000,0,0,0.048001265
18-09-2018,144.7951407,145.6281945,144.2550345,144.4289703,3722800,0,0,1.856960239
19-09-2018,145.2894674,146.0035094,144.3831769,145.7197113,2822000,0,0,1.644686358
20-09-2018,146.6625997,147.4315657,145.8936198,147.1935425,3218700,0,0,4.340231983
21-09-2018,148.9512489,151.3222351,148.7681497,151.3222351,8805500,0,0,1.186218946
24-09-2018,150.0405945,150.2053809,147.4956727,149.5004883,4375300,0,0,1.160477163
25-09-2018,150.6722563,153.0432423,150.1962375,152.3383636,5282900,0,0,-1.637771944
26-09-2018,152.3291823,153.3453211,151.5510668,151.7433014,3092600,0,0,1.109502702
27-09-2018,151.615158,153.1256423,151.3222245,152.4482117,2390700,0,0,-1.412385646
28-09-2018,152.640425,153.6382509,152.4298638,153.1439056,3390200,0,0,-0.961232877
01-10-2018,154.1326153,154.6635721,152.5672209,152.5763702,3118200,0,0,-1.807785379
02-10-2018,152.2834182,152.9150599,151.2123413,151.2123413,3071200,0,0,-1.400536936
03-10-2018,152.0545945,153.4277546,150.4708732,150.7363586,3830300,0,0,-0.469412766
04-10-2018,150.9468993,152.0271257,150.5898782,151.779953,3230400,0,0,-1.40537491
05-10-2018,152.1827359,153.3270358,151.7707768,152.4848328,2822500,0,0,1.704836946
